subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
63028370,16337,18849,96059,"{""Filename"":""MB-MG529-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9db39010-9b41-4328-8fa8-0f8731c0d821.jpeg""}",0,,,2021-06-23 17:48:33 UTC,2021-06-23 17:48:33 UTC
63028371,16337,18849,96059,"{""Filename"":""MB-MG529-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/db359a35-2197-44d3-887f-948ee23346d7.jpeg""}",0,,,2021-06-23 17:48:33 UTC,2021-06-23 17:48:33 UTC
63028372,16337,18849,96059,"{""Filename"":""MB-MG529-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/18531256-a636-406e-94ea-a3c76d17fadf.jpeg""}",0,,,2021-06-23 17:48:34 UTC,2021-06-23 17:48:34 UTC
63028374,16337,18849,96059,"{""Filename"":""MB-MG529-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b42f41aa-7493-47bc-8777-c4d0a707f379.jpeg""}",0,,,2021-06-23 17:48:34 UTC,2021-06-23 17:48:34 UTC
63028375,16337,18849,96059,"{""Filename"":""MB-MG530-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/80d25122-5dba-4a75-9bdf-e7296be5bef4.jpeg""}",0,,,2021-06-23 17:48:34 UTC,2021-06-23 17:48:34 UTC
63028376,16337,18849,96059,"{""Filename"":""MB-MG530-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9fc0c8d7-4eed-430f-8e6b-6619f1a1ed60.jpeg""}",0,,,2021-06-23 17:48:34 UTC,2021-06-23 17:48:34 UTC
63028377,16337,18849,96059,"{""Filename"":""MB-MG530-N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/613fcd18-34ab-4d86-b5d4-fd3edc37e053.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028379,16337,18849,96059,"{""Filename"":""MB-MG530-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/039a0029-07ae-4294-bb4e-fed850442850.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028380,16337,18849,96059,"{""Filename"":""MB-MG530-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/47279e4c-b247-4019-b1ce-a77abe1feadb.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028381,16337,18849,96059,"{""Filename"":""MB-MG530-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/74fec921-b0fb-498c-b0ca-35b286b7d227.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028382,16337,18849,96059,"{""Filename"":""MB-MG530-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3bc61c11-a21b-456b-b92a-e3a6a2b91578.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028384,16337,18849,96059,"{""Filename"":""MB-MG530-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/40548986-fa4c-494a-9e38-3a2c731297e2.jpeg""}",0,,,2021-06-23 17:48:35 UTC,2021-06-23 17:48:35 UTC
63028385,16337,18849,96059,"{""Filename"":""MB-SD004-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6a07a1c3-0e9e-4237-a690-06ec7173f206.jpeg""}",0,,,2021-06-23 17:48:36 UTC,2021-06-23 17:48:36 UTC
63028386,16337,18849,96059,"{""Filename"":""MB-SD004-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/43fa3987-8585-4df5-b64c-0c8a95ff843f.jpeg""}",0,,,2021-06-23 17:48:36 UTC,2021-06-23 17:48:36 UTC
63028388,16337,18849,96059,"{""Filename"":""MB-SD004-N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e2d6bec3-8d3b-442d-b3f3-ea0102d30e48.jpeg""}",0,,,2021-06-23 17:48:36 UTC,2021-06-23 17:48:36 UTC
63028389,16337,18849,96059,"{""Filename"":""MB-SD004-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/eb2ac129-fa3d-4d3e-8850-c293b5a6b2e9.jpeg""}",0,,,2021-06-23 17:48:36 UTC,2021-06-23 17:48:36 UTC
63028390,16337,18849,96059,"{""Filename"":""MB-SD004-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ee530ccb-5637-415b-91b6-be7312ce34ce.jpeg""}",0,,,2021-06-23 17:48:37 UTC,2021-06-23 17:48:37 UTC
63028391,16337,18849,96059,"{""Filename"":""MB-SD004-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/669a335c-ce7e-4e4d-b0b1-da298f6e1016.jpeg""}",0,,,2021-06-23 17:48:37 UTC,2021-06-23 17:48:37 UTC
63028393,16337,18849,96059,"{""Filename"":""MB-SD004-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cbc3e63e-ab97-4ab3-8584-77c4514d200c.jpeg""}",0,,,2021-06-23 17:48:37 UTC,2021-06-23 17:48:37 UTC
63028394,16337,18849,96059,"{""Filename"":""MB-SD004-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3f5e954a-79e3-45f3-8be7-1a59091b58d3.jpeg""}",0,,,2021-06-23 17:48:37 UTC,2021-06-23 17:48:37 UTC
63028395,16337,18849,96059,"{""Filename"":""MB-SD005-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d4e0a38b-1f9c-4f4b-bf12-a8ea97f23ef2.jpeg""}",0,,,2021-06-23 17:48:37 UTC,2021-06-23 17:48:37 UTC
63028396,16337,18849,96059,"{""Filename"":""MB-SD005-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/317f212b-c13f-42f7-880e-9b360bc29915.jpeg""}",0,,,2021-06-23 17:48:38 UTC,2021-06-23 17:48:38 UTC
63028398,16337,18849,96059,"{""Filename"":""MB-SD005-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/40965792-20ba-46af-bc01-f3ca843ec668.jpeg""}",0,,,2021-06-23 17:48:38 UTC,2021-06-23 17:48:38 UTC
63028399,16337,18849,96059,"{""Filename"":""MB-SD005-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b6496eab-e8a3-4df4-baa4-81ef748119ab.jpeg""}",0,,,2021-06-23 17:48:38 UTC,2021-06-23 17:48:38 UTC
63028401,16337,18849,96059,"{""Filename"":""MB-SD005-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2cc0e389-2762-4c07-9c47-07cb6832c289.jpeg""}",0,,,2021-06-23 17:48:40 UTC,2021-06-23 17:48:40 UTC
63028402,16337,18849,96059,"{""Filename"":""MB-SD005-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9cd63b6b-bfe5-49d6-87d7-9fb620446d8f.jpeg""}",0,,,2021-06-23 17:48:40 UTC,2021-06-23 17:48:40 UTC
63028403,16337,18849,96059,"{""Filename"":""MB-SD005-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/45080586-4c62-4a92-9eae-1f883dbb124d.jpeg""}",0,,,2021-06-23 17:48:40 UTC,2021-06-23 17:48:40 UTC
63028404,16337,18849,96059,"{""Filename"":""MN-MG788E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d3a73d59-194e-493f-9e61-50dd9ec19e07.jpeg""}",0,,,2021-06-23 17:48:40 UTC,2021-06-23 17:48:40 UTC
63028406,16337,18849,96059,"{""Filename"":""MN-MG788E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/00c369ff-bec9-4a7d-b7c2-d77046699672.jpeg""}",0,,,2021-06-23 17:48:40 UTC,2021-06-23 17:48:40 UTC
63028407,16337,18849,96059,"{""Filename"":""MN-MG788N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/244f1a65-0b64-41c7-b96e-26ac3b659f58.jpeg""}",0,,,2021-06-23 17:48:41 UTC,2021-06-23 17:48:41 UTC
63028408,16337,18849,96059,"{""Filename"":""MN-MG788N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e2ec5b2b-38db-4e48-936a-f631de2d1668.jpeg""}",0,,,2021-06-23 17:48:41 UTC,2021-06-23 17:48:41 UTC
63028409,16337,18849,96059,"{""Filename"":""MN-MG788S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3f955cc2-3578-4c9c-99b1-07b66fdcdb2e.jpeg""}",0,,,2021-06-23 17:48:41 UTC,2021-06-23 17:48:41 UTC
63028410,16337,18849,96059,"{""Filename"":""MN-MG788S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/258577ce-2f4b-43bb-a2fb-3477df21be17.jpeg""}",0,,,2021-06-23 17:48:41 UTC,2021-06-23 17:48:41 UTC
63028412,16337,18849,96059,"{""Filename"":""MN-MG788W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9a5e0abb-fd28-43b3-8bf3-8220383adfbe.jpeg""}",0,,,2021-06-23 17:48:41 UTC,2021-06-23 17:48:41 UTC
63028413,16337,18849,96059,"{""Filename"":""MN-MG788W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/83c6460c-be8d-445a-acbe-df00c24c1bbc.jpeg""}",0,,,2021-06-23 17:48:42 UTC,2021-06-23 17:48:42 UTC
63028414,16337,18849,96059,"{""Filename"":""MN-MG789E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ec6d13f5-7fe0-461a-b41c-15b5635e6ee4.jpeg""}",0,,,2021-06-23 17:48:42 UTC,2021-06-23 17:48:42 UTC
63028415,16337,18849,96059,"{""Filename"":""MN-MG789E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cdf28633-d1a6-4905-a262-8bfb47fc3248.jpeg""}",0,,,2021-06-23 17:48:42 UTC,2021-06-23 17:48:42 UTC
63028417,16337,18849,96059,"{""Filename"":""MN-MG789N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0f8a8900-fc86-46b6-8f2e-75842f0c801f.jpeg""}",0,,,2021-06-23 17:48:42 UTC,2021-06-23 17:48:42 UTC
63028418,16337,18849,96059,"{""Filename"":""MN-MG789N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/86867afd-81c7-4cfd-a503-e4bab1f9c44c.jpeg""}",0,,,2021-06-23 17:48:42 UTC,2021-06-23 17:48:42 UTC
63028419,16337,18849,96059,"{""Filename"":""MN-MG789S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/40f5a233-0796-4052-817f-8a29ef3571ce.jpeg""}",0,,,2021-06-23 17:48:43 UTC,2021-06-23 17:48:43 UTC
63028420,16337,18849,96059,"{""Filename"":""MN-MG789S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/00f957a5-a0d8-40fb-a8f3-4fa36849e1a9.jpeg""}",0,,,2021-06-23 17:48:43 UTC,2021-06-23 17:48:43 UTC
63028422,16337,18849,96059,"{""Filename"":""MN-MG789W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/5e68db59-50bc-4d5f-956a-19b742c53e31.jpeg""}",0,,,2021-06-23 17:48:43 UTC,2021-06-23 17:48:43 UTC
63028424,16337,18849,96059,"{""Filename"":""MN-MG789W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ec6d441e-93c3-46c7-933b-b8273d56a5aa.jpeg""}",0,,,2021-06-23 17:48:44 UTC,2021-06-23 17:48:44 UTC
63028425,16337,18849,96059,"{""Filename"":""MN-MG790E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6f2523e6-e0e0-4f1d-b1e4-652909202502.jpeg""}",0,,,2021-06-23 17:48:44 UTC,2021-06-23 17:48:44 UTC
63028426,16337,18849,96059,"{""Filename"":""MN-MG790E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1c7885c8-c8ae-48ab-8231-ef859171d38e.jpeg""}",0,,,2021-06-23 17:48:44 UTC,2021-06-23 17:48:44 UTC
